1,Mohamed Salah,,Liverpool,RM,91,89,88,86,90,45,76
6,Rodri,,Manchester City,CDM,90,65,80,86,84,86,85
8,Virgil van Dijk,,Liverpool,CB,90,73,60,72,72,90,87
10,Erling Haaland,,Manchester City,ST,90,86,91,70,80,45,88
18,Gianluigi Donnarumma,,Manchester City,GK,89,90,83,70,90,52,87
22,Alisson,,Liverpool,GK,89,86,85,86,89,56,90
27,Florian Wirtz,,Liverpool,CAM,89,80,82,88,90,54,67
35,Alexander Isak,,Liverpool,ST,88,83,89,73,85,39,76
38,Gabriel,,Arsenal,CB,88,64,44,64,65,88,84
41,Bukayo Saka,,Arsenal,RW,88,84,82,85,88,60,73
44,Cole Palmer,,Chelsea,CAM,87,75,83,87,87,50,65
54,Moisés Caicedo,,Chelsea,CDM,87,71,64,78,81,84,82
55,Declan Rice,,Arsenal,CDM,87,72,73,84,80,83,83
63,Bruno Fernandes,,Manchester United,CAM,87,67,83,89,83,65,75
64,William Saliba,,Arsenal,CB,87,77,39,68,72,87,83
68,Alexis Mac Allister,,Liverpool,CM,87,66,82,85,85,78,76
72,Martin Ødegaard,,Arsenal,CM,87,68,79,88,87,67,65
74,David Raya,,Arsenal,GK,87,86,84,87,87,62,85
75,Viktor Gyökeres,,Arsenal,ST,87,90,86,73,81,36,91
86,Rúben Dias,,Manchester City,CB,86,59,39,69,69,86,84
88,Bruno Guimarães,,Newcastle United,CM,86,66,75,84,84,79,81
92,Ibrahima Konaté,,Liverpool,CB,86,77,34,63,69,86,85
96,Sandro Tonali,,Newcastle United,CDM,86,79,74,82,80,81,83
100,Tijjani Reijnders,,Manchester City,CM,86,79,79,82,85,77,77
109,Ryan Gravenberch,,Liverpool,CDM,85,76,76,81,85,81,81
113,Emiliano Martínez,,Aston Villa,GK,85,83,82,82,85,56,85
121,Bryan Mbeumo,,Manchester United,RW,85,88,84,79,84,49,76
137,Phil Foden,,Manchester City,RW,85,81,81,82,89,57,57
139,Youri Tielemans,,Aston Villa,CM,85,54,79,85,80,75,72
144,Granit Xhaka,,Sunderland,CDM,85,47,75,85,74,78,82
173,Jordan Pickford,,Everton,GK,84,84,78,88,87,53,81
177,Joško Gvardiol,,Manchester City,LB,84,78,71,75,78,84,82
